Subpopulation 1,Subpopulation 2,Subpopulation 3
500.0,500.0,500.0
498.6388608003582,505.70709822750484,495.65404097213707
497.4356007662173,510.47393771435105,492.09046151943187
496.3755122231522,514.454033555653,489.1704542211949
495.44440173297073,517.776051939096,486.77954632793336
494.6288305506533,520.5478574045193,484.8233120448275
493.9162477146593,522.8597573649613,483.22399492037954
493.29507153228315,524.7873846858797,481.91754378183714
492.7547127941582,526.3940443106392,480.8512428952028
492.2855659779083,527.7327090674058,479.98172495468606
491.87897465598996,528.847682595233,479.27334274877717
491.5271830535046,529.7760112558979,478.6968056905975
491.2232766230886,530.5486622285644,478.228061148347
490.96111689284385,531.1915090669582,477.84737404019796
490.735275880854,531.7261642307092,477.5385598884369
490.5409699143247,532.1706733526349,477.28835673304036
490.3739960671849,532.5400975822956,477.0859063505194
490.2306723188741,532.8470043485473,476.92232333257857
490.10778104424884,533.1018775797753,476.790341375976
490.00251658779405,533.313458315737,476.6840250964691
489.9124377986164,533.4890319135386,476.59853028784505
489.83542507646183,533.6346688546045,476.52990606893366
489.7696410547031,533.7554256025904,476.4749333427063
489.7134957429107,533.8555123184482,476.43099193864094
489.66561540461436,533.9384331011289,476.3959514942565
489.6248149363275,534.0071034416915,476.36808162198076
489.59007321005276,534.0639482741349,476.3459785158122
489.56051159679805,534.1109838353156,476.3285045678864
489.53537499668477,534.1498857724375,476.3147392308776
489.5140152120109,534.1820461539289,476.30393863406005
489.49587637122676,534.2086211029571,476.2955025258161
489.4804822977232,534.2305704768025,476.28894722547426
489.4674254849829,534.2486907486558,476.2838837663613
489.45635746748036,534.2636428178619,476.27999971465783
489.4469806855333,534.275973983456,476.2770453310108
489.4390410964446,534.2861383877066,476.2748205158489
489.4323219571215,534.2945125483861,476.2731654944925
489.4266385408166,534.3014084054529,476.27195305373056
489.42183370126935,534.3070835121409,476.2710827865899
489.41777356307216,534.3117513618275,476.27047507510053
489.4143443704203,534.315588451863,476.2700671777167
489.41144948286774,534.3187406211897,476.2698098959426
489.4090068020219,534.3213284617267,476.2696647362515
489.40694660300494,534.3234516614076,476.2696017355875
489.40520966144464,534.3251927476679,476.26959759088754
489.40374593168417,534.3266193717376,476.26963469657824
489.40251301573556,534.3277873482803,476.2696996359842
489.40147490192845,534.3287429197101,476.2697821783615
489.4006012436023,534.329523952557,476.26987480384065
489.3998661937666,534.3301620350793,476.26997177115396
489.39924808569964,534.3306827280409,476.2700691862594
489.3987284607571,534.3311073335622,476.2701642056806
489.39829185810635,534.3314531443483,476.2702549975453
489.39792514261825,534.3317345040417,476.2703403533399
489.3976172450716,534.3319631870147,476.27041956791356
489.3973586799724,534.3321491852076,476.2704921348198
489.39714153696286,534.3323003529968,476.2705581100402
489.39695956613303,534.3324225906673,476.27061784319955
489.3968070870658,534.332521310933,476.2706716020012
489.39667930339874,534.3326009847561,476.27071971184506
489.3965724301781,534.3326649459608,476.2707626238611
489.39648284857645,534.3327165307206,476.27080062070286
489.39640754617164,534.3327583812652,476.27083407256316
489.3963450630035,534.3327914706504,476.2708634663461
489.39629253212325,534.3328182594515,476.2708892084251
489.3962486766879,534.3328396095422,476.27091171376975
489.3962120871107,534.3328565748217,476.27093133806744
489.3961814738978,534.3328700404543,476.2709484856477
489.3961559243911,534.3328806694111,476.2709634061976
489.3961346102035,534.3328890749746,476.2709763148218
489.39611659504703,534.3328959258542,476.2709874790985
489.3961015022258,534.3329013979038,476.2709970998702
489.396088929783,534.3329056892246,476.27100538099216
489.3960775834936,534.3329094976953,476.271012918811
489.39606945076605,534.3329117832651,476.2710187659687
489.39606234784003,534.3329136584414,476.2710239937184
489.39605625604355,534.3329151356255,476.2710286083308
